Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6120153,SA_0000001688,COUNTRY,SOM,EMR,YEAR,Eastern Mediterranean,SEX,SEX_FMLE,2000,,,,,,,0.0 [0.0-0.0],0.0,0.0,0.0,WHO Global Information System on Alcohol and Health (GISAH),2023-03-20T08:23:35+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
6216793,SA_0000001688,COUNTRY,CRI,AMR,YEAR,Americas,SEX,SEX_BTSX,2019,,,,,,,3.5 [1.8-5.3],3.45249,1.81536,5.28287,WHO Global Information System on Alcohol and Health (GISAH),2023-03-20T08:23:11+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6197088,SA_0000001688,COUNTRY,TGO,AFR,YEAR,Africa,SEX,SEX_MLE,2015,,,,,,,2.8 [0.9-5.1],2.80829,0.91256,5.09739,WHO Global Information System on Alcohol and Health (GISAH),2023-03-20T08:23:37+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6207512,SA_0000001688,COUNTRY,BLZ,AMR,YEAR,Americas,SEX,SEX_FMLE,2019,,,,,,,2.4 [1.3-3.5],2.37582,1.32333,3.51922,WHO Global Information System on Alcohol and Health (GISAH),2023-03-20T08:23:07+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6197065,SA_0000001688,COUNTRY,SVK,EUR,YEAR,Europe,SEX,SEX_BTSX,2015,,,,,,,10.3 [7.2-13.3],10.31864,7.24897,13.32923,WHO Global Information System on Alcohol and Health (GISAH),2023-03-20T08:23:34+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6159341,SA_0000001688,COUNTRY,BLZ,AMR,YEAR,Americas,SEX,SEX_BTSX,2010,,,,,,,6.1 [3.5-8.9],6.13009,3.4729,8.8898,WHO Global Information System on Alcohol and Health (GISAH),2023-03-20T08:23:07+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
6120220,SA_0000001688,COUNTRY,UKR,EUR,YEAR,Europe,SEX,SEX_MLE,2000,,,,,,,17.6 [12.3-23.7],17.57755,12.26281,23.68757,WHO Global Information System on Alcohol and Health (GISAH),2023-03-20T08:23:39+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
6130276,SA_0000001688,COUNTRY,AND,EUR,YEAR,Europe,SEX,SEX_MLE,2005,,,,,,,18.4 [13.5-23.6],18.40106,13.45226,23.55704,WHO Global Information System on Alcohol and Health (GISAH),2023-03-20T08:23:03+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
6149313,SA_0000001688,UNREGION,515,,YEAR,,SEX,SEX_BTSX,2010,,,,,,,4.5 [3.7-5.4],4.50439,3.71123,5.35714,WHO Global Information System on Alcohol and Health (GISAH),2023-03-20T08:21:56+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
6100450,SA_0000001688,UNREGION,21,,YEAR,,SEX,SEX_BTSX,2000,,,,,,,9.1 [6.5-11.6],9.0855,6.52023,11.58012,WHO Global Information System on Alcohol and Health (GISAH),2023-03-20T08:21:51+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
6149283,SA_0000001688,UNREGION,29,,YEAR,,SEX,SEX_BTSX,2010,,,,,,,5.2 [4.1-6.3],5.16447,4.07288,6.34083,WHO Global Information System on Alcohol and Health (GISAH),2023-03-20T08:21:52+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
6187698,SA_0000001688,COUNTRY,ITA,EUR,YEAR,Europe,SEX,SEX_MLE,2015,,,,,,,12.3 [8.1-16.4],12.29967,8.1354,16.41688,WHO Global Information System on Alcohol and Health (GISAH),2023-03-20T08:23:20+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6110920,SA_0000001688,COUNTRY,CAF,AFR,YEAR,Africa,SEX,SEX_BTSX,2000,,,,,,,2.4 [1.0-3.8],2.35645,1.03171,3.84867,WHO Global Information System on Alcohol and Health (GISAH),2023-03-20T08:23:09+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
6149132,SA_0000001688,COUNTRY,SVK,EUR,YEAR,Europe,SEX,SEX_MLE,2005,,,,,,,16.9 [11.9-22.2],16.93157,11.93875,22.21596,WHO Global Information System on Alcohol and Health (GISAH),2023-03-20T08:23:34+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
6130220,SA_0000001688,UNREGION,514,,YEAR,,SEX,SEX_BTSX,2005,,,,,,,10.9 [10.0-11.8],10.85353,9.95084,11.84921,WHO Global Information System on Alcohol and Health (GISAH),2023-03-20T08:21:55+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
6159344,SA_0000001688,COUNTRY,BOL,AMR,YEAR,Americas,SEX,SEX_BTSX,2010,,,,,,,4.7 [2.5-7.0],4.66137,2.53303,6.99742,WHO Global Information System on Alcohol and Health (GISAH),2023-03-20T08:23:06+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
6196948,SA_0000001688,COUNTRY,MUS,AFR,YEAR,Africa,SEX,SEX_BTSX,2015,,,,,,,7.4 [4.7-10.1],7.40097,4.74472,10.09651,WHO Global Information System on Alcohol and Health (GISAH),2023-03-20T08:23:25+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6216928,SA_0000001688,COUNTRY,ITA,EUR,YEAR,Europe,SEX,SEX_BTSX,2019,,,,,,,8.0 [5.3-10.6],7.96607,5.27485,10.61921,WHO Global Information System on Alcohol and Health (GISAH),2023-03-20T08:23:19+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6216809,SA_0000001688,COUNTRY,DJI,EMR,YEAR,Eastern Mediterranean,SEX,SEX_FMLE,2019,,,,,,,0.1 [0.0-0.3],0.0978,0.0,0.2705,WHO Global Information System on Alcohol and Health (GISAH),2023-03-20T08:23:15+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6120240,SA_0000001688,COUNTRY,VUT,WPR,YEAR,Western Pacific,SEX,SEX_FMLE,2000,,,,,,,0.4 [0.0-0.9],0.43866,0.01693,0.94205,WHO Global Information System on Alcohol and Health (GISAH),2023-03-20T08:23:28+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
